codigo;cidSigla;Cidade;Endereco;coordinates/latitude;coordinates/longitude
A01;CBM;Campo Bom;R. Av. Brasil,2044;-29,6785179;-51,067219
A02;CBM;Campo Bom;R.Wolfram Metzler, 210;-29,6774932;-51,0826277
A03;CBM;Campo Bom;R. Marcos Silvano, 50;-29,6923608;-51,0579058
A04;CBM;Campo Bom;R. Padre Julio, 477;-29,6755914;-51,0544096
A05;CBM;Campo Bom;R. Cirino Berghann, 431;-29,6851547;-51,043683
A07;CBM;Campo Bom;R. Bom Jesus, 563;-29,6927003;-51,0747232
V01;CBM;Campo Bom;R. São Leopoldo, 319;-29,6801754;-51,0605308
